Name,Version,Product ID
Office 365/2019 Suite Installer,16.19.18110915 64-bit,525133
Office 2016 Suite Installer,16.16.18111001 64-bit,871743
Word 365/2019 Standalone Installer,16.19.18110915 64-bit,525134
Word 2016 Standalone Installer,16.16.18111001 64-bit,871748
Excel 365/2019 Standalone Installer,16.19.18110915 64-bit,525135
Excel 2016 Standalone Installer,16.16.18111001 64-bit,871750
PowerPoint 365/2019 Standalone Installer,16.19.18110915 64-bit,525136
PowerPoint 2016 Standalone Installer,16.16.18111001 64-bit,871751
Outlook 365/2019 Standalone Installer,16.19.18110915 64-bit,525137
Outlook 2016 Standalone Installer,16.16.18111001 64-bit,871753
OneNote Free Standalone Updater,16.19.18110915 64-bit,820886
OneDrive Standalone Installer,18.172.0826 [181023] 64-bit,823060
Skype for Business Standalone Installer,16.23.64 [181114] 64-bit,832978
Teams Standalone Installer,1.00.129053 [181112] 64-bit,869428
Intune Company Portal Standalone Installer,1.10 (52.1810002.000) [181027],869655
Remote Desktop Standalone Installer,10.2.3 (1343) [181106] 64-bit,868963
Microsoft AutoUpdate (MAU) Standalone Installer,4.5.18110915 64-bit,830196
SharePoint Plugin Installer,15.32.0 [170309] 64-bit,800050
Office 2011 Suite Installer,14.7.7 [170905] 32-bit,273962
Office 2011 Combo Updater,14.7.7 [170905] 32-bit,835451
